date,value,numberOfEntries
"2019-06-03 00:50:00",0.0147281,1584
"2019-06-03 00:55:00",0.0141388,3038
"2019-06-03 01:00:00",0.0135928,1311
"2019-06-03 01:05:00",0.0146835,1869
"2019-06-03 01:10:00",0.0146414,1139
"2019-06-03 01:15:00",0.0143493,2204
"2019-06-03 01:20:00",0.0149362,1504
"2019-06-03 01:25:00",0.0149068,1563
"2019-06-03 01:30:00",0.0144876,1897
"2019-06-03 01:35:00",0.0149831,1475
"2019-06-03 01:40:00",0.0145351,809
"2019-06-03 01:45:00",0.0139342,642
"2019-06-03 01:50:00",0.0145976,389
"2019-06-03 01:55:00",0.0139855,267
"2019-06-03 02:00:00",0.013118,300
"2019-06-03 02:05:00",0.0139903,195
"2019-06-03 02:10:00",0.0130851,301
"2019-06-03 02:15:00",0.01313,305
"2019-06-03 02:20:00",0.0135607,202
"2019-06-03 02:25:00",0.0144435,197
"2019-06-03 02:30:00",0.0169914,59
"2019-06-03 02:35:00",0.013826,1097
"2019-06-03 02:40:00",0.0144606,212
"2019-06-03 02:45:00",0.0145171,207
"2019-06-03 02:50:00",0.0137123,180
"2019-06-03 02:55:00",0.0141467,266
"2019-06-03 03:00:00",0.0135822,440
"2019-06-03 03:05:00",0.0132657,202
"2019-06-03 03:10:00",0.0134004,208
"2019-06-03 03:15:00",0.0139267,253
"2019-06-03 03:20:00",0.0137801,297
"2019-06-03 03:25:00",0.0151045,323
"2019-06-03 03:30:00",0.0142939,259
"2019-06-03 03:35:00",0.0132559,320
"2019-06-03 03:40:00",0.0156444,216
"2019-06-03 03:45:00",0.0145615,123
"2019-06-03 03:50:00",0.0132214,196
"2019-06-03 03:55:00",0.0135254,292
"2019-06-03 04:00:00",0.0129099,252
"2019-06-03 04:05:00",0.0142369,315
"2019-06-03 04:10:00",0.0139763,107
"2019-06-03 04:15:00",0.0132405,404
"2019-06-03 04:20:00",0.0144912,307
"2019-06-03 04:25:00",0.0144134,964
"2019-06-03 04:30:00",0.0148301,457
"2019-06-03 04:35:00",0.0140824,340
"2019-06-03 04:40:00",0.0129029,94
"2019-06-03 04:45:00",0.0156791,271
"2019-06-03 04:50:00",0.0135193,509
"2019-06-03 04:55:00",0.0127878,149
"2019-06-03 05:00:00",0.0147752,256
"2019-06-03 05:05:00",0.0146585,311
"2019-06-03 05:10:00",0.0145416,262
"2019-06-03 05:15:00",0.0140577,278
"2019-06-03 05:20:00",0.0140424,101
"2019-06-03 05:25:00",0.0145279,149
"2019-06-03 05:30:00",0.0146283,297
"2019-06-03 05:35:00",0.0137576,336
"2019-06-03 05:40:00",0.0131639,196
"2019-06-03 05:45:00",0.0133486,389
"2019-06-03 05:50:00",0.0142494,381
"2019-06-03 05:55:00",0.015201,422
"2019-06-03 06:00:00",0.0137207,160
"2019-06-03 06:05:00",0.0137234,184
"2019-06-03 06:10:00",0.0156517,152
"2019-06-03 06:15:00",0.012492,202
"2019-06-03 06:20:00",0.0141485,170
"2019-06-03 06:25:00",0.0127891,151
"2019-06-03 06:30:00",0.0141371,252
"2019-06-03 06:35:00",0.0143477,238
"2019-06-03 06:40:00",0.012212,246
"2019-06-03 06:45:00",0.0154887,311
